eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,total_timesteps,value_loss
6334.789473684211,395823.66932947375,0.006987333297729492,94,24700,2.8121254444122314,494000,0.24443311989307404
6334.789473684211,395823.66932947375,0.005226492881774902,94,24800,3.463170289993286,496000,2.1398673057556152
6334.789473684211,395823.66932947375,0.017699122428894043,94,24900,2.7428014278411865,498000,0.3299899399280548
6334.789473684211,395823.66932947375,0.0029183030128479004,94,25000,2.3589606285095215,500000,0.5825740694999695
6334.789473684211,395823.66932947375,0.03011298179626465,94,25100,2.7308921813964844,502000,2.145306348800659
6334.789473684211,395823.66932947375,0.015981614589691162,94,25200,3.901966094970703,504000,2.1053264141082764
6334.789473684211,395823.66932947375,-0.003942608833312988,94,25300,4.289193153381348,506000,0.27450627088546753
6334.789473684211,395823.66932947375,0.019268691539764404,95,25400,4.950720310211182,508000,0.18656322360038757
6334.789473684211,395823.66932947375,0.27435147762298584,95,25500,6.014487266540527,510000,3.674560546875
6334.789473684211,395823.66932947375,-0.10282886028289795,95,25600,4.626402854919434,512000,3.8830554485321045
6334.789473684211,395823.66932947375,0.01580357551574707,95,25700,4.576385498046875,514000,4.828195571899414
6334.789473684211,395823.66932947375,0.1057358980178833,95,25800,5.665532112121582,516000,3.335608959197998
6396.205128205128,400507.23947197443,-0.03433048725128174,95,25900,1.8141648769378662,518000,8.17265510559082
6441.822784810127,405462.75821418996,0.06859546899795532,95,26000,1.3769558668136597,520000,1.3320677280426025
6441.822784810127,405462.75821418996,-0.019079089164733887,95,26100,0.03421938046813011,522000,3.3553738594055176
6486.3,408716.8981084,0.028472542762756348,95,26200,0.08304949104785919,524000,5.621615409851074
6486.3,408716.8981084,0.020445287227630615,95,26300,0.006057778839021921,526000,1.8433711528778076
6486.3,408716.8981084,0.013078093528747559,95,26400,0.26643285155296326,528000,2.279409646987915
6486.3,408716.8981084,-0.006368756294250488,95,26500,1.3649307489395142,530000,0.08267014473676682
6486.3,408716.8981084,0.040296196937561035,95,26600,5.471938133239746,532000,1.2039045095443726
6486.3,408716.8981084,-0.3581681251525879,95,26700,5.944769382476807,534000,0.056889813393354416
